106,NIKE BUILDING 106,N106,"3708 Libra Dr., Orlando, FL 32816"
107,NIKE BUILDING 107,N107,"3716 Libra Dr., Orlando, FL 32816"
108,HERCULES BUILDING 108,H108,"4139 Ursa Minor St., Orlando, FL 32816"
109,HERCULES BUILDING 109,H109,"4125 Ursa Minor St., Orlando, FL 32816"
110,HERCULES BUILDING 110,H110,"4133 Ursa Minor St., Orlando, FL 32816"
111,HERCULES BUILDING 111,H111,"4155 Ursa Minor St., Orlando, FL 32816"
112,HERCULES BUILDING 112,H112,"4147 Ursa Minor St., Orlando, FL 32816"
113,HERCULES BUILDING 113,H113,"4120 Ursa Minor St., Orlando, FL 32816"
114,HERCULES BUILDING 114,H114,"4128 Ursa Minor St., Orlando, FL 32816"
115,ACADEMIC VILLAGES MAIL CENTER,A115,"4117 Ursa Minor St., Orlando, FL 32816"
116,HARRIS CORPORATION ENGINEERING CENTER,HEC,"4328 Scorpius St., Orlando, FL 32816"
117,ARA DRIVE RESEARCH FACILITY,ADRF,"12716 Ara Dr., Orlando, FL 32816"
118,LEISURE POOL SERVICES,LPS,"12826 Gemini Blvd. S., Orlando, FL 32816"
119,PERFORMING ART CENTER ,PAC,"12488 Centaurus Blvd., Orlando, FL 32816"
120,RESEARCH 1,R1,"4353 Scorpius St., Orlando, FL 32816"
121,PHYSICAL SCIENCES BUILDING,PSB,"4111 Libra Dr., Orlando, FL 32816"
122,MORGRIDGE INTERNATIONAL READING CENTER,MIRC,"4143 Andromeda Loop N., Orlando, FL 32816"
123,TREVOR COLBOURN HALL,TCB,"12796 Aquarius Agora Drive, Orlando, FL 32816"
124,BIOLOGICAL TRANSGENIC GREENHOUSE,BTG,"12706 Ara Dr., Orlando, FL 32816"
125,SOFTBALL STADIUM   ,SBS,"4055 Home Run Ct., Orlando, FL 32816"
126,FAIRWINDS ALUMNI CENTER,ALUM,"12676 Gemini Blvd. N., Orlando, FL 32816"
127,HEALTH CENTER  ,HC,"4098 Libra Dr., Orlando, FL 32816"
128,NICHOLSON FIELD HOUSE,NFH,"4200 N. Orion Blvd., Orlando, FL 32816"
129,TOWER  1,T1,"4274 W. Plaza Dr., Orlando, FL 32816"
130,TOWER  2,T2,"4290 W. Plaza Dr., Orlando, FL 32816"
131,PARKING GARAGE G,PGG,"4282 W.t Plaza Dr., Orlando, FL 32816"
132,TOWER  3,T3,"4211 E. Plaza Dr., Orlando, FL 32816"
133,TOWER  4,T4,"4291 Mensa Ln., Orlando, FL 32816"
134,PARKING GARAGE E,PGE,"4220 Mensa Ln., Orlando, FL 32816"
135,SPECTRUM STADIUM,SS,"4465 Knights Victory Way, Orlando, FL 32816"
136,WAYNE DENSCH CENTER FOR STUDENT-ATHLETE LEADERSHIP,CSAL,"4582 N. Orion Blvd., Orlando, FL 32816"
137,KNIGHTS PLAZA I,KP,"4202 W. Plaza Dr., Orlando, FL 32816"
138,POLLO TROPICAL RESTAURANT,PTR,"12820 Gemini Blvd. S., Orlando, FL 32816"
139,UCF GLOBAL BUILDING,GB,"4356 Scorpius St., Orlando, FL 32816"
140,CAREER SERVICES & EXPERIENTIAL LEARNING,CSEL,"4123 Pictor Ln., Orlando, FL 32816"
141,PARKING GARAGE F ,PGF,"4403 Knights Victory Way, Orlando, FL 32816"
142,TRACK/SOCCER STADIUM,TSS,"4275 E. Plaza Dr., Orlando, FL 32816"
